Station_Id,Station_Name,Station_Lat,Station_Lon,Station_Docks,Overall,Weekday,Weekend
1,"River Street, Clerkenwell",51.529163,-0.10997,19,22.92857143,25.2,17.25
10,"Park Street, Bankside",51.505974,-0.092754,18,26.53571429,27.7,23.625
100,"Albert Embankment, Vauxhall",51.490435,-0.122806,24,24.21428571,26.85,17.625
101,"Queen Street 1, Bank",51.511553,-0.09294,22,115.2142857,152.75,21.375
102,"Jewry Street, Aldgate",51.513406,-0.076793,17,33.78571429,41.1,15.5
103,"Vicarage Gate, Kensington",51.504723,-0.192538,18,15.67857143,16.5,13.625
104,"Crosswall, Tower",51.511594,-0.077121,34,92.07142857,118.1,27
105,"Westbourne Grove, Bayswater",51.515529,-0.19024,26,26.25,25.75,27.5
106,"Woodstock Street, Mayfair",51.514105,-0.147301,21,22.32142857,24.75,16.25
107,"Finsbury Leisure Centre, St. Luke's",51.526008,-0.096317,20,73.17857143,83.45,47.5
108,"Abbey Orchard Street, Westminster",51.498125,-0.132102,29,38.46428571,46.85,17.5
109,"Soho Square, Soho",51.515631,-0.132328,57,81.71428571,91.1,58.25
11,"Brunswick Square, Bloomsbury",51.523951,-0.122502,24,38.07142857,42,28.25
110,"Wellington Road, St. John's Wood",51.533043,-0.172528,17,18.5,19.7,15.5
111,"Park Lane, Hyde Park",51.510017,-0.157275,28,98.28571429,79.5,145.25
112,"Stonecutter Street, Holborn",51.515809,-0.10527,42,40.39285714,54.75,4.5
113,"Gloucester Road (Central), South Kensington",51.496462,-0.183289,19,20.57142857,22.3,16.25
114,"Park Road (Baker Street), The Regent's Park",51.524517,-0.158963,22,42.57142857,40.35,48.125
115,"Braham Street, Aldgate",51.514233,-0.073537,34,54.03571429,63,31.625
116,"Little Argyll Street, West End",51.514499,-0.141423,21,65.03571429,67.4,59.125
117,"Lollard Street, Vauxhall",51.49288,-0.114934,25,30.96428571,32.45,27.25
118,"Rochester Row, Westminster",51.495827,-0.135478,13,19.07142857,22.75,9.875
119,"Bath Street, St. Luke's",51.525893,-0.090847,18,60.10714286,72.45,29.25
12,"Malet Street, Bloomsbury",51.52168,-0.130431,49,93.10714286,111.3,47.625
120,"The Guildhall, Guildhall",51.515735,-0.09308,17,25.71428571,34.25,4.375
121,"Baker Street, Marylebone",51.518913,-0.156166,22,32.17857143,38.2,17.125
122,"Norton Folgate, Liverpool Street",51.521113,-0.078869,23,37.60714286,42.5,25.375
123,"St. John Street, Finsbury",51.52836,-0.104724,18,24.60714286,28.75,14.25
124,"Eaton Square, Belgravia",51.496544,-0.150905,20,26.82142857,31.85,14.25
125,"Borough High Street, The Borough",51.500694,-0.094524,21,30,33.7,20.75
126,"Museum of London, Barbican",51.517821,-0.096496,52,57.5,74.05,16.125
127,"Wood Street, Guildhall",51.517008,-0.093885,17,28.64285714,37.4,6.75
129,"Golden Square, Soho",51.511897,-0.137043,18,37.92857143,41.25,29.625
13,"Scala Street, Fitzrovia",51.519914,-0.136039,21,30.5,37.8,12.25
130,"Tower Gardens, Tower",51.509506,-0.075459,24,73.60714286,63.85,98
131,"Eversholt Street, Camden Town",51.533005,-0.136792,16,20.42857143,20.7,19.75
132,"Bethnal Green Road, Shoreditch",51.523648,-0.074754,38,101.0357143,99.9,103.875
133,"Derry Street, Kensington",51.501364,-0.191462,18,54.39285714,56.3,49.625
134,"Wapping High Street, Wapping",51.504904,-0.06797,20,20.46428571,18.3,25.875
